l,nr,l,nr,l,,,,,,,,,
101,80.0910125142208,101,84.376185058779,101,89.7610921501706,,,,,,,,
102,80.80204778157,102,85.2256351915055,102,90.6712172923777,,,,,,,,
103,81.5130830489193,103,86.0750853242321,103,91.5813424345847,,,,,,,,
104,82.2241183162685,104,86.9245354569587,104,92.4914675767917,,,,,,,,
105,82.9351535836178,105,87.7739855896853,105,93.4015927189988,,,,,,,,
106,83.6461888509671,106,88.6234357224119,106,94.3117178612058,,,,,,,,
107,84.3572241183163,107,89.3818733409178,107,95.1243295953193,,,,,,,,
108,85.0682593856656,108,90.1403109594236,108,95.9369413294327,,,,,,,,
109,85.7792946530148,109,90.8987485779295,109,96.7495530635462,,,,,,,,
110,86.4903299203641,110,91.6571861964354,110,97.5621647976596,,,,,,,,
111,87.2013651877134,111,92.4156238149413,111,98.3747765317731,,,,,,,,
112,87.9124004550626,112,93.1740614334472,112,99.1873882658865,,,,,,,,
113,88.6234357224119,113,93.932499051953,,,,,,,,,,
114,89.3344709897611,114,94.6909366704589,,,,,,,,,,
115,90.0455062571104,115,95.4493742889648,,,,,,,,,,
116,90.7565415244597,116,96.2078119074707,,,,,,,,,,
117,91.4675767918089,117,96.9662495259766,,,,,,,,,,
118,92.1786120591582,118,97.7246871444824,,,,,,,,,,
119,92.8896473265074,119,98.4831247629883,,,,,,,,,,
120,93.6006825938567,120,99.2415623814942,,,,,,,,,,
121,94.311717861206,,,,,,,,,,,,
122,95.0227531285552,,,,,,,,,,,,
123,95.7337883959045,,,,,,,,,,,,
124,96.4448236632537,,,,,,,,,,,,
125,97.155858930603,,,,,,,,,,,,
126,97.8668941979523,,,,,,,,,,,,
127,98.5779294653015,,,,,,,,,,,,
128,99.2889647326508,,,,,,,,,,,,
