,,,,,,,,,,,,,,
1,0,0,0,,1,0,0,0,,1,0,0,0,0
2,6.25,4.16666666666667,2.5,,2,8.33333333333333,5,3.57142857142857,,2,5,4.16666666666667,3.57142857142857,
3,12.5,8.33333333333333,5,,3,16.6666666666667,10,7.14285714285714,,3,10,8.33333333333333,7.14285714285714,
4,18.75,12.5,7.5,,4,25,15,10.7142857142857,,4,15,12.5,10.7142857142857,
5,25,16.6666666666667,10,,5,33.3333333333333,20,14.2857142857143,,5,20,16.6666666666667,14.2857142857143,
6,31.25,20.8333333333333,12.5,,6,41.6666666666667,25,17.8571428571429,,6,25,20.8333333333333,17.8571428571429,
7,37.5,25,15,,7,50,30,21.4285714285714,,7,30,25,21.4285714285714,
8,43.75,29.1666666666667,17.5,,8,58.3333333333333,35,25,,8,35,29.1666666666667,25,
9,50,33.3333333333333,20,,9,66.6666666666667,40,28.5714285714286,,9,40,33.3333333333333,28.5714285714286,
10,56.25,37.5,22.5,,10,75,45,32.1428571428571,,10,45,37.5,32.1428571428571,
11,62.5,41.6666666666667,25,,11,83.3333333333333,50,35.7142857142857,,11,50,41.6666666666667,35.7142857142857,
12,68.75,45.8333333333333,27.5,,12,91.6666666666667,55,39.2857142857143,,12,55,45.8333333333333,39.2857142857143,
13,75,50,30,,13,,60,42.8571428571429,,13,60,50,42.8571428571429,
14,81.25,54.1666666666667,32.5,,14,,65,46.4285714285714,,14,65,54.1666666666667,46.4285714285714,
15,87.5,58.3333333333333,35,,15,,70,50,,15,70,58.3333333333333,50,
16,93.75,62.5,37.5,,16,,75,53.5714285714286,,16,75,62.5,53.5714285714286,
17,,66.6666666666667,40,,17,,80,57.1428571428571,,17,80,66.6666666666667,57.1428571428571,
18,,70.8333333333333,42.5,,18,,85,60.7142857142857,,18,85,70.8333333333333,60.7142857142857,
19,,75,45,,19,,90,64.2857142857143,,19,90,75,64.2857142857143,
20,,79.1666666666667,47.5,,20,,95,67.8571428571429,,20,95,79.1666666666667,67.8571428571429,
21,,83.3333333333333,50,,21,,,71.4285714285714,,21,,83.3333333333333,71.4285714285714,
22,,87.5,52.5,,22,,,75,,22,,87.5,75,
23,,91.6666666666667,55,,23,,,78.5714285714286,,23,,91.6666666666667,78.5714285714286,
24,,95.8333333333333,57.5,,24,,,82.1428571428572,,24,,95.8333333333333,82.1428571428572,
25,,,60,,25,,,85.7142857142857,,25,,,85.7142857142857,
26,,,62.5,,26,,,89.2857142857143,,26,,,89.2857142857143,
27,,,65,,27,,,92.8571428571429,,27,,,92.8571428571429,
28,,,67.5,,28,,,96.4285714285714,,28,,,96.4285714285714,
29,,,70,,,,,,,,,,,
30,,,72.5,,,,,,,,,,,
31,,,75,,,,,,,,,,,
32,,,77.5,,,,,,,,,,,
33,,,80,,,,,,,,,,,
34,,,82.5,,,,,,,,,,,
35,,,85,,,,,,,,,,,
36,,,87.5,,,,,,,,,,,
37,,,90,,,,,,,,,,,
38,,,92.5,,,,,,,,,,,
39,,,95,,,,,,,,,,,
40,,,97.5,,,,,,,,,,,
